item,simulated,published,construct,judgement,source
"a1 inter-reader 95% LoA, single-view width, n = 50","AP width, 1 beat: median LoA -2.75 to +2.77 mm, width 5.50 mm (95% of studies 4.47 to 6.65); 3-beat mean: width 3.18 mm (2.59 to 3.82); biplane 1 beat: width 3.88 mm","Hauptmann 2026: -1.78 to +2.04 mm (width 3.82 mm), n = 50, TTE apical 4-chamber VCW","close (TTE VCW, core lab; simulated TEE-like span, same beats measured by both readers)",Simulated single-beat AP LoA is wider than published (share of studies with width >= 3.82 mm 1.000); a 3-beat mean or a biplane single beat reproduces it,"face_a_reader_agreement.csv, Hauptmann-like n=50, long-axis view"
"a2 inter-reader ICC(A,1), n = 50","AP width, 1 beat: median 0.937 (95% of studies 0.813 to 0.974); 3-beat mean 0.969; per-read error SD 1.00 mm; ICC at between-subject SD 2.7 mm (derived) 0.879; simulated between-subject SD 4.52 mm",Hauptmann 2026: 0.935 (0.894 to 0.961); implied per-read error SD 0.69 mm and between-subject SD 2.7 mm (derived),close,ICC matches (published value at simulated percentile 0.47) only because a larger simulated per-read error is offset by a wider simulated case mix; ICC is not a sharp check,face_a_reader_agreement.csv
"a3 inter-reader ICC, biplane VCW, n = 10","median 0.925 (95% of studies 0.626 to 0.989); share of studies <= 0.865: 0.258, <= 0.944: 0.623","Singh 2026: 0.865 to 0.944 across three ME views, n = 10, TEE",direct (TEE colour VCW),Consistent; with n = 10 the published range is compatible with a wide range of error models (weak check),"face_a_reader_agreement.csv, Singh-like n=10"
"b1 single long-axis view mean minus T1, base L 0.25",-1.67 mm (MCSE 0.009); -15.4% of mean T1 (MCSE 0.08); SD of differences 2.75 mm; mean T1 10.84 mm,"Singh 2026: single-plane VCW 5.18 to 8.29 mm below 3D maximum diameter (31% to 49%, derived); SD of differences 4.5 to 4.9 mm (derived); mean 3D maximum 16.82 mm",direct construct for T1 (maximal span); 3D colour MPR maximum is itself an imperfect reference,Base underestimates less than published by about half (15% vs 31% to 49%),"face_b_view_vs_T1.csv, u_anchor 0.06, u_long 0.25"
"b1 single long-axis view mean minus T1, L 0.50",-3.65 mm (MCSE 0.013); -33.7% of mean T1 (MCSE 0.11); SD of differences 3.91 mm; mean T1 10.82 mm,"Singh 2026: single-plane VCW 5.18 to 8.29 mm below 3D maximum diameter (31% to 49%, derived); SD of differences 4.5 to 4.9 mm (derived); mean 3D maximum 16.82 mm",direct construct for T1 (maximal span); 3D colour MPR maximum is itself an imperfect reference,Reaches the lower end of the published range in %; mm smaller because simulated T1 is smaller,"face_b_view_vs_T1.csv, u_anchor 0.06, u_long 0.5"
"b2 biplane average minus mean of true AP and SL, base L 0.25",-1.33 mm (MCSE 0.006); -14.9% (MCSE 0.07),Singh 2026: biplane VCW 2.42 to 3.17 mm (19% to 25%) below 3D average VCW,direct,Base underestimates less than published (15% vs 19% to 25%),"face_b_view_vs_T1.csv, u_anchor 0.06, u_long 0.25"
"b2 biplane average minus mean of true AP and SL, L 0.50",-2.95 mm (MCSE 0.009); -33.2% (MCSE 0.09),Singh 2026: biplane VCW 2.42 to 3.17 mm (19% to 25%) below 3D average VCW,direct,Overshoots published (33% vs 19% to 25%): no single L fits b1 and b2 together,"face_b_view_vs_T1.csv, u_anchor 0.06, u_long 0.5"
"c1 beat-to-beat CV of measured values (pooled RMS, 5 beats, AP, long-axis view, mean >= 3 mm)",base beat CV 15%: 20.8% (MCSE 0.06); true spans 14.9%; beat CV 10%: 17.5%; beat CV 5%: 15.3%,"Moraldo 2013: 15.5% (per-patient 2% to 29%), PISA distance, MR, TTE, n = 11, measured values","close (linear colour-Doppler dimension, other valve)",Base overshoots by about 5 points because the 15% beat CV was taken from measured values and caliper error is added on top; measured 15.5% corresponds to a beat CV parameter of about 5% to 10%,face_c_beat_cv.csv
c2 beat CV of measured values vs jet-area CV,base mean CV 19.1% (MCSE 0.05); lowest on grid (beat CV 5%) 13.4%,"Wong 1987: mean CV 14% to 22% of jet area (5 beats, includes reading error); linear equivalent about 7% to 11% (derived, sqrt scaling)",proxy (area),"Inside the published area range, but above the linear equivalent at every grid value: caliper error alone contributes about 12% at a 9 mm span (derived)",face_c_beat_cv.csv
"d measured AP span distribution: long-axis view 3-beat mean, L 0.25",median 8.32 [IQR 5.98 to 11.38] mm; medians of cohorts of 44: 6.99 to 9.88 mm (95%); share of cohorts with median <= 9.5 mm 0.93,"Sugiura 2021: TEE VC width median 9.5 [7.2 to 12.3] mm, n = 44 (T-TEER)","close (VC width, view not stated)",Published median inside the simulated cohort range,"face_d_span_distribution.csv, u_anchor 0.06, u_long 0.25"
"d measured AP span distribution: anchor view 3-beat mean, L 0.25",median 9.73 [IQR 7.27 to 12.97] mm; medians of cohorts of 44: 8.36 to 11.35 mm (95%); share of cohorts with median <= 9.5 mm 0.38,"Sugiura 2021: TEE VC width median 9.5 [7.2 to 12.3] mm, n = 44 (T-TEER)","close (VC width, view not stated)",Published median inside the simulated cohort range,"face_d_span_distribution.csv, u_anchor 0.06, u_long 0.25"
"d measured AP span distribution: A4 composite, L 0.25",median 10.32 [IQR 7.83 to 13.61] mm; medians of cohorts of 44: 8.86 to 11.99 mm (95%); share of cohorts with median <= 9.5 mm 0.13,"Sugiura 2021: TEE VC width median 9.5 [7.2 to 12.3] mm, n = 44 (T-TEER)","close (VC width, view not stated)",Published median inside the simulated cohort range,"face_d_span_distribution.csv, u_anchor 0.06, u_long 0.25"
"d measured AP span distribution: T1 AP (true span), L 0.25",median 10.01 [IQR 7.64 to 13.09] mm; medians of cohorts of 44: 8.69 to 11.51 mm (95%); share of cohorts with median <= 9.5 mm 0.24,"Sugiura 2021: TEE VC width median 9.5 [7.2 to 12.3] mm, n = 44 (T-TEER)","close (VC width, view not stated)",Published median inside the simulated cohort range,"face_d_span_distribution.csv, u_anchor 0.06, u_long 0.25"
"d measured AP span distribution: long-axis view 3-beat mean, L 0.5",median 6.44 [IQR 3.90 to 9.54] mm; medians of cohorts of 44: 4.91 to 8.01 mm (95%); share of cohorts with median <= 9.5 mm 1.00,"Sugiura 2021: TEE VC width median 9.5 [7.2 to 12.3] mm, n = 44 (T-TEER)","close (VC width, view not stated)",Published median outside the simulated cohort range,"face_d_span_distribution.csv, u_anchor 0.06, u_long 0.5"
